               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.011424,           0.0050506,            0.016134,             0.98122,             0.97522,             0.99181,              0.9792,            0.004587,           0.0022803,           0.0038363,            0.004852,            0.004852,            0.004852
                  54,            0.011425,           0.0050831,            0.015777,              0.9884,               0.968,             0.99293,             0.98043,           0.0045548,           0.0022855,           0.0039333,            0.004753,            0.004753,            0.004753
                  55,            0.011272,           0.0049538,            0.015582,             0.98372,             0.97001,             0.99069,             0.97978,           0.0045213,           0.0022526,           0.0043665,            0.004654,            0.004654,            0.004654
                  56,            0.011293,           0.0050121,            0.015383,             0.97555,             0.97261,             0.99133,             0.97991,           0.0044465,           0.0022474,           0.0043849,            0.004555,            0.004555,            0.004555
                  57,            0.010964,           0.0050174,            0.014984,               0.983,             0.97828,             0.99212,             0.98118,           0.0044468,           0.0022168,           0.0038149,            0.004456,            0.004456,            0.004456
                  58,            0.010904,            0.004908,            0.014935,             0.97469,             0.97814,             0.99175,             0.98074,           0.0043245,           0.0022024,           0.0037873,            0.004357,            0.004357,            0.004357
                  59,            0.010884,            0.004923,            0.015433,             0.98482,             0.98066,              0.9921,             0.98224,           0.0043362,           0.0021897,           0.0037382,            0.004258,            0.004258,            0.004258
                  60,            0.010709,           0.0048829,            0.014856,             0.98242,             0.97607,             0.99147,             0.98291,           0.0042539,           0.0022053,           0.0038329,            0.004159,            0.004159,            0.004159
                  61,            0.010612,           0.0047705,            0.014669,             0.98102,             0.97475,             0.99137,             0.98196,           0.0042673,           0.0021596,           0.0041125,             0.00406,             0.00406,             0.00406
                  62,            0.010451,           0.0047805,            0.014526,             0.98045,             0.97707,             0.99193,             0.98177,           0.0041986,           0.0021224,           0.0037487,            0.003961,            0.003961,            0.003961
                  63,            0.010365,           0.0047841,            0.014548,             0.98647,             0.97918,             0.99196,             0.98091,           0.0041469,           0.0020926,           0.0036439,            0.003862,            0.003862,            0.003862
                  64,            0.010376,           0.0047159,            0.014402,             0.98515,             0.97818,             0.99201,             0.98277,           0.0041265,           0.0020835,           0.0034841,            0.003763,            0.003763,            0.003763
                  65,            0.010078,           0.0046435,            0.014175,              0.9868,              0.9752,             0.99239,             0.98357,           0.0041103,            0.002067,           0.0034059,            0.003664,            0.003664,            0.003664
                  66,            0.010102,           0.0047112,             0.01404,             0.98926,             0.97176,             0.99282,             0.98657,           0.0041193,           0.0020818,           0.0033072,            0.003565,            0.003565,            0.003565
                  67,            0.010069,           0.0046316,            0.013838,             0.98829,             0.97655,             0.99285,             0.98667,           0.0040919,           0.0020383,           0.0033481,            0.003466,            0.003466,            0.003466
                  68,           0.0098091,           0.0045811,            0.013288,             0.98346,              0.9799,              0.9927,              0.9867,            0.004075,           0.0020217,           0.0034409,            0.003367,            0.003367,            0.003367
                  69,            0.009695,           0.0045842,            0.013687,             0.98257,             0.98193,             0.99303,             0.98779,           0.0040341,            0.002002,           0.0033451,            0.003268,            0.003268,            0.003268
                  70,           0.0096201,           0.0044948,            0.013233,             0.98751,             0.97586,             0.99283,             0.98684,           0.0039561,           0.0019843,           0.0033714,            0.003169,            0.003169,            0.003169
                  71,           0.0095387,           0.0045205,            0.013088,             0.98773,             0.97652,             0.99278,             0.98691,             0.00393,           0.0019697,           0.0033144,             0.00307,             0.00307,             0.00307
